Gene	DMSO_rep1	DMSO_rep2	E2_rep1	E2_rep2
KCTD12	27	27	77	110
DHFR2	77	79	58	85
AL450998.1	0	2	2	1
RPP25	229	224	515	628
GRINA	1152	1141	1046	1359
C5orf64	0	0	0	0
GLULP4	0	0	0	0
THBD	5	10	8	18
GP5	0	0	0	1
LMO7DN	0	0	0	0
COX5A	249	251	319	371
STX19	0	0	0	1
ERFE	4	2	2	4
FAM219B	198	201	252	372
HIST1H2BPS1	0	0	0	0
ZHX2	363	381	318	376
CPN2	0	0	0	2
CPNE7	4	6	5	4
C5orf46	0	0	0	0
CD300LB	0	0	0	0
GDPD4	0	0	0	0
RIIAD1	0	0	0	1
MPI	157	172	154	212
ADORA2A-AS1	0	1	0	0
H1FOO	0	0	0	0
TRIM73	6	4	2	2
OPLAH	95	103	93	99
TMEM52	2	4	11	17
TMEM139	0	0	0	0
RNF186	0	0	0	0
AC114812.1	0	0	0	0
EFCAB13	24	21	20	24
MSC	0	0	0	0
	0	0	0	0
APOLD1	12	24	7	12
RFLNA	1	0	0	0
	0	0	0	0
EXOSC4	75	74	126	163
DPY19L3	312	311	309	323
TAF7	576	591	539	597
ZNF852	29	32	24	23
FOXE1	0	0	0	0
PFAS	67	92	119	165
HYI	112	96	77	111
C17orf62	203	172	179	232
TPRX1	1	0	0	1
LGALS7B	0	0	0	0
ZNF552	97	104	80	122
SMIM10L2A	0	0	0	0
GAK	526	530	515	663
ZBTB7A	455	478	477	480
TUFM	828	821	840	1128
ERICH3	0	0	0	0
RMI1	103	105	163	180
CTC1	62	59	57	72
	0	0	0	0
FBXO34	454	425	381	488
LINC00324	12	5	18	21
SELENOW	262	251	236	324
EIF3K	430	395	378	493
MRFAP1L1	797	811	630	795
SNX18	109	125	157	203
EXD1	0	1	3	0
AURKB	79	86	41	89
TAS1R2	0	0	0	0
C14orf39	0	0	1	0
MRFAP1	2600	2728	2703	3336
C3orf38	193	200	199	264
KLHDC7A	5	13	1	3
AC245177.1	0	0	0	0
TMEM107	39	36	24	25
Z73417.1	0	0	0	0
AP001885.1	0	0	0	0
RRS1	33	26	192	209
EXOC3L1	0	0	2	0
TRIML2	1	0	0	0
RCC2	912	856	1110	1483
OR13D1	0	0	0	0
IGSF22	0	0	0	0
C9orf50	0	0	2	1
ZFP42	1	0	0	0
	0	1	0	0
AC020907.1	0	0	0	0
CCDC89	4	8	0	5
TAAR3P	0	0	0	0
C9orf106	29	39	23	29
FAM133A	0	0	0	0
DPM3	109	88	61	98
C12orf42	1	1	0	2
CYC1	371	349	404	513
PER1	57	50	50	67
HTR1F	1	2	1	1
AL590139.1	0	0	0	0
TMTC2	150	164	55	77
HES7	0	0	0	1
FARSA	229	213	431	564
SPTY2D1	399	397	343	434
AC073335.1	0	0	0	0
C10orf67	0	0	0	0
SAMD4B	332	302	349	383
LINC00670	0	2	1	2
MTUS2-AS1	0	0	0	0
CYP11B2	0	0	0	0
GIMAP7	0	0	0	0
ALOXE3	0	0	3	0
EDC3	145	166	159	165
TCAIM	269	216	150	186
RPS2P28	0	1	1	1
FUCA1	244	248	229	246
PXT1	0	1	0	0
GGN	1	1	0	0
OR7E97P	0	0	0	0
HNRNPCL1	0	0	0	0
TMEM125	56	56	15	28
ZNF664	1963	1897	1711	2154
SIGLECL1	0	0	0	0
CALR	3099	2865	2799	3454
LINC00311	0	0	2	2
MAGED1	1604	1521	1219	1487
GVQW3	23	19	16	15
LDLRAD3	23	23	51	81
CDH4	0	0	0	1
AL162457.1	0	0	1	0
SMCO3	0	0	0	0
RAD23A	419	377	453	524
C2orf71	0	0	0	0
GADD45GIP1	117	118	126	177
MEIS3P1	2	9	11	6
DAND5	2	1	0	1
TMEM151A	1	3	1	0
	38	32	109	114
PTPN11	1377	1355	1505	1721
	0	0	1	1
NSUN7	96	85	57	58
RTL3	0	0	0	0
FAM156B	0	0	0	4
WSCD1	1	0	1	0
RAB39A	0	0	0	0
CLK3	222	274	214	280
AC008267.1	1	0	0	0
HLA-DQB1	7	5	5	10
GATA2	94	72	83	88
ARID3B	15	25	14	17
HMGN2P46	4	2	2	1
TMEM31	0	0	0	0
PACS2	604	557	616	792
OR4K11P	0	0	0	0
ELMOD2	372	365	239	278
EGR3	3	2	451	629
CATSPERE	2	2	0	2
GPC5	0	0	0	0
VWA1	156	143	162	228
LINC00174	64	63	48	44
DNAJB8	0	0	0	0
GEMIN4	70	82	236	319
HNRNPCL4	0	0	0	0
OR6W1P	0	0	0	0
AC073072.1	0	0	0	0
FJX1	15	9	142	142
OR13C6P	0	0	0	0
AL049647.1	0	0	0	0
	0	0	0	0
LINC01699	0	0	0	0
KLHL28	453	443	251	288
MKRN3	18	15	14	21
ZBTB18	4	2	3	2
EEF1A1P27	0	0	0	0
	0	0	1	0
OR9A2	0	0	0	0
C14orf28	42	57	41	52
ALOX12B	0	0	0	1
SLC17A8	0	0	0	0
EIF3J-AS1	74	63	64	75
SHARPIN	140	154	130	183
LBX2	29	30	14	17
DNHD1	7	10	19	5
SLITRK4	2	0	1	5
HTR1D	17	14	9	9
GCC1	138	145	139	166
LSMEM2	0	0	0	0
NBPF17P	1	0	1	0
AP003471.1	0	0	0	0
RNF151	0	0	0	0
CIITA	4	5	2	4
ZFPM1	50	76	67	51
ALOX15B	0	0	0	0
PLD6	54	45	71	84
GPHB5	0	0	0	0
GRM8	0	0	0	0
CDC42EP4	292	275	178	229
DGKZP1	0	0	0	0
OR2AP1	0	0	0	0
OR6C4	0	0	0	0
ZBTB42	444	449	324	399
LACC1	58	70	56	60
MAF1	623	641	589	710
TPPP2	0	0	0	0
FCER1A	0	0	0	0
RPRML	0	0	0	0
ARL14	0	0	0	0
LINC00305	0	0	0	0
OR6C2	0	0	0	0
WDR97	14	19	21	37
NLRP8	1	0	0	0
PCED1B	10	7	8	5
AL450998.2	24	29	24	32
APOBEC3B	67	50	46	46
SYCN	0	0	0	0
AC135776.1	0	0	0	0
PIPOX	2	2	3	1
ATP8B5P	0	1	0	3
FOXS1	0	0	0	0
ATOH7	0	0	0	0
CDH5	0	0	0	0
LRRC3B	0	0	0	0
OR7E22P	0	0	0	0
FAM216B	0	0	0	0
MRGPRX4	0	0	0	0
PCBP1-AS1	158	128	88	99
MYADM	208	184	153	193
MRGPRX3	2	2	1	0
MROH1	145	123	141	160
SERTAD2	103	113	155	181
	363	419	476	601
PIK3CD-AS1	0	0	0	0
AKAP5	246	238	124	118
NKPD1	0	3	0	4
GIPC3	0	0	0	0
RNF227	10	10	12	14
CITED4	31	47	85	113
ABCA13	3	2	1	0
NLRP11	0	0	0	0
TIGD5	44	66	98	110
PDXDC1	1103	1046	1104	1437
PHC1P1	1	2	1	7
C1orf194	0	0	0	1
ZNF154	2	0	0	0
R3HDM2	96	101	89	108
B3GNT3	19	9	26	29
ITLN1	0	0	0	0
NRXN1	0	0	0	0
SEPHS2	875	941	1034	1257
OR10A7	0	0	0	0
GPBAR1	0	0	0	0
ZNF784	19	33	19	22
ZNF648	0	0	0	0
C14orf119	264	251	281	398
CCR8	0	0	0	0
LINC00652	2	0	0	3
GOLGA8J	1	3	0	0
BBS10	147	155	105	114
FIZ1	56	58	57	56
PUF60	703	665	776	982
SSC5D	0	0	0	2
DCTPP1	121	104	248	310
ZNF771	23	27	23	17
PPP1R14BP3	0	0	0	1
AC140134.1	3	0	1	3
	8	16	9	13
TSHZ1	272	237	201	233
PSTK	13	14	12	18
SPDYE7P	0	0	0	0
AC010894.1	0	0	0	0
SOCS4	608	638	905	1083
ZADH2	269	302	327	376
AC093909.1	0	2	2	2
OR1E1	0	0	0	0
AC079741.1	0	0	0	0
ZNF48	112	97	146	173
AC087498.1	0	0	0	0
FAM71E2	0	0	1	0
C3orf80	4	4	5	8
NKX2-6	0	0	0	0
TMEM150B	1	1	0	1
C10orf91	1	1	1	0
OR3A4P	0	0	0	0
ANKRD18A	28	28	15	35
	3	3	1	0
WFDC11	0	0	0	0
TMEM86B	10	12	17	21
OR3A1	0	0	0	0
1-Sep	2	1	5	5
TRNAU1AP	84	74	58	79
EXOC3	441	439	411	485
AC017081.1	0	0	0	0
TDRD6	0	0	0	0
C12orf40	1	1	1	1
CSNK1A1L	0	0	0	0
ACTA2-AS1	0	0	0	0
HMGN2P9	0	0	0	0
XIAPP3	0	1	0	0
LYNX1	0	0	0	0
RPS12P23	0	0	0	0
TH	2	3	16	19
FAR2P1	12	15	22	18
MED14	363	372	322	427
FAHD1	212	228	301	385
HMGB1P14	0	0	0	0
TDRP	0	0	0	0
RCC1	230	209	327	384
WFDC9	0	0	0	0
MYLPF	2	1	1	2
F2	1	0	0	0
FO393411.1	1	0	2	0
FAM71C	0	0	0	0
TPT1P10	0	1	1	0
PRKRA	157	185	192	257
HERC2P3	4	4	1	6
NACAP2	0	0	0	0
ZNRF2	272	305	321	359
RRH	0	0	0	0
SLC9A4	2	2	2	4
ZNF816	149	170	205	239
PRNT	0	0	0	0
FGD6	68	59	71	70
ADGRD2	0	0	0	0
GPR139	0	0	1	0
LINC01869	0	1	1	0
AL049610.1	0	0	0	0
PLD5	0	0	0	0
OAZ2	358	360	253	318
WFDC10A	0	0	0	0
PNPLA1	1	2	0	0
ALX1	0	0	0	0
CCDC43	236	249	215	285
KCTD4	0	0	0	0
MEIOC	8	16	11	11
FZD2	31	25	14	7
	0	0	0	0
TIGD2	48	44	92	101
CCDC129	0	0	0	0
HCLS1	0	3	0	1
MTURN	180	168	179	222
ZNF609	755	670	927	1126
PAK2	3061	3228	2492	2963
CCDC66	71	103	77	116
DEFB124	0	0	0	0
EMC3-AS1	43	49	42	55
KRTAP9-7	0	0	0	0
ATP5F1EP2	0	0	1	2
MCFD2	681	645	624	789
OR10AA1P	0	0	0	0
LINC00304	1	3	4	2
HARBI1	34	32	33	25
DEFB123	0	0	0	0
C11orf71	10	7	3	8
CYP8B1	1	0	2	3
OR6K6	0	0	0	0
OR6K4P	0	0	0	0
TPRXL	1	1	0	1
SERTM1	0	0	0	0
GAS1	1	2	2	5
ARHGAP45	45	40	52	61
AC022148.1	0	0	0	0
OR10Q1	0	0	0	0
ZNF571	29	48	49	55
GLIPR1L2	0	2	3	3
DEFB119	0	0	0	0
MIGA1	166	148	141	162
KCNE1	1	0	1	1
PRR26	0	0	0	0
NRIP1	294	308	1671	1904
ZSCAN4	1	1	0	0
BHLHA15	0	0	1	2
RNF182	1	1	0	0
C9orf139	1	1	1	0
TSPYL5	15	11	7	14
FUT7	0	0	0	0
HIST1H2AC	537	537	376	484
EIF2S3B	0	0	0	0
SRP9P1	0	0	0	1
SKIDA1	57	43	26	29
HIST1H2BC	543	523	476	548
ZBTB12BP	0	0	0	0
MB21D2	133	146	78	119
GSX2	0	0	0	0
SSTR2	0	0	1	3
ZNF594	138	93	122	119
PCGF5	205	243	204	227
	0	0	0	0
SLC47A2	0	1	0	0
PRF1	0	0	0	0
OR2A4	0	0	0	0
MAB21L1	3	0	0	2
RPL21P8	0	0	0	0
VN1R3	0	0	0	0
YOD1	6	1	3	5
	0	1	0	0
EXOC5P1	0	0	0	1
TMEM64	4539	5048	5587	6954
C3orf22	0	0	0	0
OR10K2	0	0	1	2
LINC02363	0	1	2	3
OR5AZ1P	0	0	0	0
CHRM4	1	0	2	2
OR51A9P	0	0	0	0
	0	0	0	0
SHISA2	14	18	13	11
S1PR5	14	14	19	22
CLRN3	0	0	0	0
SMG1P3	33	26	35	52
GPR157	116	97	86	110
PIPSL	0	1	0	3
CHST13	0	0	0	0
WDFY3-AS2	58	37	47	52
OR7E129P	0	0	0	0
	71	51	95	99
AGTR2	0	0	0	0
SLC36A4	9	9	1	9
ZDHHC20	252	271	224	261
ANKRD30B	24	27	5	11
OR51E1	0	0	0	0
ZFP3	108	86	83	111
ARSJ	0	0	0	0
AL157366.1	0	0	0	0
HOXC9	16	19	20	16
MAP3K15	0	4	0	3
PPA1	384	383	457	576
HOXC10	54	32	28	35
PSMG4	62	62	101	154
BHLHE22	0	0	0	0
MAP6D1	37	32	154	191
CSNK1G2-AS1	0	0	0	0
ZNF443	61	75	109	112
LINC01559	0	0	0	0
PDIA3P1	23	21	12	10
LINC01555	1	0	0	0
CXCR2	0	0	0	0
DEFB112	0	0	0	0
GREM2	0	0	0	0
C11orf42	0	0	0	0
SSR4	264	305	298	393
CAPS2	24	18	8	12
ZNF792	52	51	23	25
CUEDC1	34	34	154	196
SCRIB	582	589	692	829
KCTD2	191	197	201	237
D2HGDH	69	67	57	64
OR52B1P	0	0	0	0
TTTY11	0	0	0	0
OR56B3P	0	0	0	0
OXTR	10	5	5	6
CMTR2	548	518	437	521
OR56B4	0	0	0	0
FAM83H	817	826	996	1117
OR7E18P	0	0	0	0
GPR62	0	0	0	0
OR56A1	0	0	0	0
ZNF572	114	129	78	79
ST20	19	20	16	24
PITPNB	194	187	359	394
TCEAL8	134	159	118	142
OR52E4	0	0	0	0
LRRC57	121	90	92	108
	0	0	0	0
OR52N2	0	0	0	0
MRPL14	105	108	175	224
GPR137C	18	15	13	9
C1orf105	0	0	0	2
OR52N1	0	0	0	0
BBS12	9	5	10	6
ZFP82	3	1	1	0
OR52N5	0	0	0	0
C17orf47	0	0	0	0
LSMEM1	2	5	2	1
OR56B2P	0	0	0	0
NQO1	4811	4694	4295	5355
OR56B1	0	0	0	0
AEN	89	79	388	477
FKRP	27	33	22	40
TRAPPC5	1	1	0	3
RPH3AL	10	12	7	11
SLC25A42	56	56	107	160
FCRL6	0	0	0	0
METTL23	76	64	63	80
	36	38	20	17
SLC26A11	89	92	67	65
HIGD1A	174	158	213	291
CHRM2	0	0	0	0
OR52N4	0	0	0	0
MAPK15	10	9	1	8
EHMT1	683	694	633	824
ADIPOQ	0	2	1	1
AC105219.1	2	5	4	5
SDCCAG3P2	0	0	0	0
F2R	8	5	9	5
OR52P1P	0	0	0	0
AC004832.1	0	0	0	0
HLA-V	2	0	2	3
ZNF707	59	63	43	50
MUC16	2	1	1	4
NPM1	3269	3212	3900	4596
FER1L6-AS1	0	0	0	0
PJA1	110	94	98	111
DHTKD1	943	952	935	1043
PENK	0	0	0	0
HIST3H2BA	0	0	0	0
HECW1-IT1	0	0	0	0
OR8G2P	0	0	1	0
C4orf50	0	1	1	1
HIST3H2A	108	122	81	115
ZNF746	160	163	164	209
POLR2A	292	288	310	334
DLSTP1	0	0	0	0
TMEM132C	0	0	0	0
SLC25A41	1	0	1	2
MTHFD2P7	0	0	1	0
TMEM136	44	44	31	32
OR5AK2	0	0	0	0
FRAT2	254	234	269	310
OR5AK3P	0	0	0	0
TMEM102	29	33	34	59
TMEM132E	3	2	1	1
OR5G1P	0	0	0	0
ZNF322	73	77	51	84
NME9	0	0	0	0
SPEM1	0	0	0	0
OR9G3P	0	0	0	0
HEPHL1	0	0	1	0
LRRC75A	3	6	5	8
OFCC1	0	0	0	0
CTAGE10P	0	0	0	0
HSP90AA6P	0	0	1	1
OR5M8	0	0	0	0
CCL13	0	0	0	0
CFAP65	0	0	0	0
DDX60L	26	21	26	32
SYNE4	80	92	74	121
	0	0	0	0
OGFOD3	189	173	171	250
WASHC1	2	4	4	6
UTS2R	0	0	0	0
AATK	1	2	1	4
DDN	0	1	0	1
SAGE1	0	0	0	0
ZNF467	207	226	71	92
SOX2	36	33	3	6
ZNF678	188	204	199	247
TMEM45A	48	78	44	68
	0	0	0	0
RAP2B	218	225	342	397
ZBTB2	149	144	248	262
RNF135	112	111	106	130
	0	0	0	0
OR6T1	0	0	0	0
AC011890.1	0	0	0	0
ACBD4	67	46	26	32
FO393414.1	0	0	0	0
OR8D4	0	0	0	0
SGSH	173	198	158	201
RPL24P4	2	0	2	2
MAB21L2	0	0	0	0
FANCB	55	41	52	58
EDDM3B	0	0	0	0
SETD2	762	790	798	970
EDDM3A	0	0	0	0
C6orf223	0	0	0	1
TMIE	0	0	1	1
MEX3D	153	207	272	281
OR52D1	0	0	0	0
MRPS23	210	208	340	409
OR52H1	0	0	0	0
FDCSP	0	0	0	0
GPR135	9	12	53	41
SLX1B	0	0	0	0
ANKRD62	0	0	1	1
P2RY13	0	0	0	0
TNFSF15	4	2	6	10
ZFP41	38	37	35	40
PHLDA2	24	17	74	89
ATG9B	0	0	0	3
GPR88	0	0	0	0
HKR1	224	198	213	228
	0	0	0	0
PLAG1	2	1	2	1
OR8H1	0	0	0	0
OR5T1	0	0	0	0
YIPF6	609	659	623	815
AL596028.1	0	0	0	0
OR5T2	0	0	0	0
ZBTB20	2	3	0	1
OR2Z1	0	0	0	0
FDX1P1	0	0	0	0
C3orf58	252	314	184	255
C5orf30	236	287	268	339
OR8K5	0	0	0	0
AMIGO1	69	74	77	97
OR8H3	0	0	0	0
OR8H2	0	0	0	0
GPR3	0	0	1	3
TMEM252	0	0	0	0
OR5J1P	0	0	0	0
ODF3L2	0	0	0	0
OR5AS1	0	0	0	0
ACTL9	0	0	0	0
SIAH2	196	194	887	1018
COPG1	1518	1493	1260	1480
ADGRB1	14	21	30	31
	0	0	0	0
LINC00471	1	2	6	2
CELF2-AS1	0	0	0	0
OR6S1	0	0	0	0
SLC9A9	0	0	0	0
LSM10	38	33	35	46
KCTD9P2	0	0	0	0
RELL1	450	414	217	251
RFX7	336	388	386	471
SLC35C1	169	176	137	162
OR5D17P	0	0	0	0
TIGIT	0	0	0	0
RNF41	104	117	106	136
SLC2A4	10	11	23	22
FTMT	0	0	0	0
IBA57	144	117	148	122
CLDN7	241	212	309	375
ZNF329	176	166	156	190
ZNF101	109	98	138	164
OR4C6	0	0	0	0
C5orf24	277	325	326	383
AP003774.1	0	0	3	1
ADO	166	181	297	319
COA4	336	301	502	605
OR4P4	0	0	0	0
PRKAG1	256	267	221	313
	0	0	0	0
GINS3	103	90	177	250
OR4C15	0	0	0	0
OR4A21P	0	0	0	0
OR4A13P	0	0	0	0
OR4A15	0	0	0	0
OR4A16	0	0	0	0
OR52K2	0	0	0	0
NEUROG1	0	0	0	0
PYY3	0	0	0	0
CCDC149	194	203	146	181
GOLGA8CP	0	0	0	0
MRPS11	206	156	211	244
LINC00301	0	0	0	0
AQP7P2	0	0	0	0
PPIAP73	0	0	0	0
SNRPE	254	228	263	316
RTKN2	107	105	58	76
PNMA8A	0	0	0	0
AL591379.1	0	0	0	0
CHST15	559	511	345	387
ADIG	0	0	0	0
USH1G	6	3	4	3
TRPC2	0	0	0	0
MGAT4C	0	0	0	0
TRIM49B	0	0	0	0
IDH2	1233	1248	1033	1174
OGFRP1	1	3	12	5
OR52A1	0	0	0	0
PTCHD3	0	0	0	0
OR6B2	0	0	0	0
TMEM259	468	462	486	606
WRB	278	250	263	285
TNRC18	815	803	656	798
FAM181B	0	0	0	0
TMEM30B	785	885	856	958
DEXI	90	87	116	152
	1	0	1	1
ZNF716	1	0	1	1
NOP10	388	335	328	436
FAM89A	9	9	24	22
KCNIP1	0	0	0	0
TDRKH	262	261	204	232
ZNF708	142	170	186	210
IST1	957	1056	840	1065
ERCC6L2	393	424	331	351
MRPL41	346	383	492	558
ENPP7	0	0	0	0
CREB3L2	285	278	183	232
P2RY8	0	0	0	0
TP53TG1	106	88	73	96
UNC5C	1531	1552	490	568
MRGPRG	0	0	0	0
TSEN54	253	240	360	486
RGMA	0	0	1	1
ASB18	2	2	0	2
UBA7	1	0	1	0
MRPS16	455	441	472	578
SHISAL2A	0	0	0	2
RAD51B	60	57	53	65
CRYGB	0	0	0	0
LDOC1	575	571	452	557
ARL6IP4	7	3	4	2
EXT1	126	146	81	118
SHMT2	224	208	252	298
MOB2	35	47	43	55
	0	0	0	0
HHIPL1	3	4	3	1
ATP6AP2	497	478	480	610
ZAR1	0	0	0	0
CYB5D1	99	119	140	168
FAM153B	3	2	0	0
BACE2	129	128	132	152
	0	0	0	0
UBE2E2	18	30	21	34
SYNM	41	27	13	20
KCNA4	0	0	0	0
GABRG3	0	0	0	0
PRR34	5	6	1	6
NLRP10	0	0	0	0
FIGN	65	66	45	46
IZUMO1	4	5	3	3
TMIGD1	0	0	0	0
B4GALNT4	83	112	144	165
AP1S2	47	36	60	80
C8orf33	331	331	426	516
DCAF4L1	1	2	3	1
SPACA6	6	11	14	13
MBD3L3	0	0	0	0
ZSCAN22	80	76	113	124
	59	44	263	380
KCNJ14	3	4	7	5
FBXL6	34	35	74	89
C1S	1	0	1	0
GLTPD2	0	1	0	0
KIAA2012	0	3	3	2
PRAMEF8	0	0	0	0
LIPF	0	0	0	0
OR5P3	0	0	0	0
DAOA	0	0	0	0
PDSS1P1	0	0	0	0
ZNF804B	0	0	0	0
CRIP1P4	0	0	0	0
C17orf77	1	1	0	0
KBTBD3	32	26	10	21
YBEY	27	27	21	30
OR5F2P	0	0	0	0
FAM87A	0	0	0	0
	0	0	0	0
CLN8	256	255	214	298
AC138028.1	0	0	0	0
PLCXD1	58	49	67	67
NXPH4	4	4	4	3
RPL27AP5	0	0	0	0
CACNB4	8	4	4	2
IFNL1	0	0	0	0
DNM1P46	1	0	0	0
TRAPPC6B	404	398	324	425
	0	1	1	1
PGBD4	15	19	27	20
CDY2A	0	0	0	0
NPLOC4	597	518	543	610
OTOL1	0	0	1	0
KCNK4	0	0	0	0
TEX19	2	1	0	4
TSHZ2	0	0	0	1
CAPN12	2	0	18	23
EXOC7	790	728	689	879
OR2B8P	0	0	0	0
KPNA2	820	923	1033	1362
WASH6P	6	26	23	21
NCF1B	0	0	0	0
XKRX	5	8	7	4
BGN	0	0	0	0
	72	84	137	161
	1	0	0	0
CEP97	147	168	155	157
LHFPL1	0	0	0	0
FES	0	2	0	0
GLRX5	380	397	583	742
FAM104B	31	47	42	43
TBPL2	7	3	4	3
OR7E115P	0	0	0	0
CAV3	0	0	0	0
MXRA7	58	40	41	43
LIMK2	205	196	129	170
MFSD5	89	103	82	122
RNASE10	4	5	2	9
ADI1	575	613	467	592
RWDD4	107	130	137	152
SPNS3	0	0	0	0
OR4C2P	0	0	0	0
CLEC4G	0	0	0	0
SATB1	0	1	0	0
	144	203	134	136
Z97985.1	0	0	0	0
NXPH3	4	3	28	36
CSF1R	0	0	0	0
EPHB3	144	125	77	88
VCX	0	0	0	0
ACTL10	12	15	19	27
EPGN	0	0	0	0
LINC00334	0	0	0	0
KRTAP11-1	0	0	0	0
SNORC	1	1	0	2
HS3ST4	0	0	0	0
TRAK1	586	531	389	522
	358	365	314	423
TSPAN10	7	12	7	5
OR2V2	0	0	0	0
PLCB1	278	285	256	275
AC091046.1	0	0	0	0
SKA2	657	586	515	667
RXFP3	0	0	0	0
CCNYL2	0	0	2	0
OR10G7	0	0	0	0
NDN	0	0	0	0
CCDC172	0	0	0	0
	3	0	0	2
LINC01006	15	25	14	24
OR4Q3	0	0	0	0
NTM	0	0	0	0
TTC3	3109	3192	2459	2911
KCNB2	0	0	0	0
PPP1R27	0	0	0	0
BRICD5	9	15	10	33
GALR2	0	0	1	0
RESP18	0	0	0	0
IGIP	29	29	16	24
TSKU	196	206	1583	2106
FXYD6P3	0	0	0	0
CMC4	0	0	0	0
ANXA2	1180	1070	908	1173
SEPHS1P1	0	0	0	0
RGS6	35	26	26	33
HOXB4	1	0	0	0
SLC35D3	1	0	0	0
PAQR7	16	14	10	17
PAPPA	0	0	0	0
MAFA	12	8	5	5
NGRN	119	149	163	196
GRID1	4	3	2	4
RPS17	0	0	0	0
AC239585.1	0	0	0	0
HCAR2	4	4	0	1
OR2T29	0	0	0	0
CCDC87	1	1	5	3
GSTA5	0	0	0	0
C1orf116	0	0	0	1
TMEM198B	28	29	30	44
MAGEB17	0	0	0	0
CRIP2	399	376	294	388
DDX28	78	70	137	175
FUNDC2P2	0	1	0	0
KRTAP13-2	0	0	0	0
LINC01662	0	0	0	0
ACBD3	635	661	502	669
C16orf72	519	521	418	504
PLCXD3	0	1	1	1
RRP7BP	15	13	25	38
	0	0	0	0
VMO1	12	9	8	12
OR4F15	0	0	0	0
ALG12	187	177	149	201
LCK	0	1	2	2
GALNT9	0	0	0	0
COL18A1	675	730	938	1172
RBM10	514	453	408	535
PRKCZ-AS1	0	1	2	2
ADGRG3	0	0	0	0
AC007685.1	0	0	0	0
GLUD2	17	19	12	10
TMEM95	0	0	0	0
TCHHL1	0	1	1	0
RPL35A	1412	1336	1250	1640
RGS7	0	0	0	0
SLC25A18	2	0	0	0
ZNF721	304	314	391	460
	32	39	91	110
TSPEAR-AS2	1	2	2	0
TCEAL7	0	0	1	0
C11orf54	181	175	139	146
CCDC75P1	0	0	0	0
CEP63	148	163	182	231
WFDC10B	0	0	0	0
SRPRA	431	400	452	597
OTOP3	0	0	0	0
EWSR1	1133	1151	980	1272
ODF3L1	0	0	0	0
HMGN4	301	283	305	405
SPATA13	393	406	248	337
GJC1	4	1	2	2
NPM1P14	0	0	0	0
SOX1	0	0	0	0
CNOT10	189	197	242	283
AC135068.1	0	0	0	0
MTA1	539	599	558	683
ZNF662	1	1	2	6
CADM1	6	3	4	6
ZNF320	5	8	4	7
C12orf60	4	2	13	22
PYCR1	211	189	354	465
NAA38	90	91	90	105
	0	0	0	0
SPNS2	4	3	93	116
MCEMP1	0	0	0	1
AP2A2	266	211	193	247
TPM3P8	0	0	0	0
SLC8A1	4	2	4	1
OR1G1	0	0	0	0
SLC25A21	15	7	11	9
OTOP2	0	0	1	1
CYLC1	0	0	0	0
PCP4	8	3	7	3
	0	0	0	0
ABAT	705	675	1382	1714
SLC25A10	36	47	55	55
CAMK1D	28	31	29	27
RGPD6	0	0	0	0
FAM133CP	0	0	0	0
LYSMD4	26	32	19	24
WBP2NL	3	5	2	3
IGSF5	46	53	24	26
NKX2-5	0	0	0	0
AFMID	51	48	62	76
	0	0	0	0
GAS6	42	36	31	52
FREM3	0	0	0	0
NEB	461	543	469	533
BEGAIN	2	2	10	10
GPC6	0	0	0	0
	0	0	0	0
ARHGEF37	89	101	21	29
FAM43B	0	0	0	0
CSMD1	0	0	0	0
OR2A3P	0	0	0	0
CALHM3	1	0	0	0
	0	0	0	0
PTGDR2	0	0	1	1
CEP57L1	96	112	86	88
RIPPLY3	62	55	47	47
PRORY	1	0	0	0
ANKRD20A2	0	0	0	0
GPR19	10	5	6	8
GJD3	2	3	8	2
AC138356.1	1	3	1	3
RABIF	132	129	120	142
TMEM119	1	1	2	1
FANCF	89	101	135	144
CALN1	0	0	1	0
POM121L1P	0	0	0	0
BX322650.1	0	0	0	1
SMDT1	169	141	114	153
GABRR3	0	1	1	0
C2CD4C	2	4	2	5
CHST6	0	0	0	0
HSP90AB3P	4	3	8	4
POTEC	5	6	8	5
RUVBL2	290	292	417	507
GDPGP1	20	20	13	11
CTNNA3	0	1	0	0
AL109615.1	0	0	0	0
WT1-AS	0	0	0	1
RIMBP3C	0	0	0	0
PRR36	2	9	7	6
NF1P3	0	0	0	0
LINC01547	47	64	33	55
OR51B4	0	0	0	0
PTTG1IP	1354	1387	1345	1542
DDX41	314	269	359	416
ABHD16B	0	0	0	0
OR52E8	0	0	0	0
CCDC60	0	1	1	1
PLGLB1	5	10	3	11
DAZAP2	1528	1530	1230	1536
CCBE1	5	4	3	6
SELENOF	360	422	356	447
PRSS40A	2	0	0	0
RPSAP19	1	0	1	0
OR5P2	0	0	0	0
FAM9A	0	0	0	0
MAGEA2B	0	0	0	0
TMEM121B	0	0	1	0
AC005037.1	0	6	1	4
ZNF623	387	410	383	450
OR2T34	0	0	0	0
OR52L1	0	0	0	0
EPHA10	12	24	32	61
SPDYE4	0	0	0	0
CCDC125	489	468	413	434
REC114	0	0	0	0
BOLA2	0	0	0	0
BCOR	405	375	625	807
JRKL	65	64	69	71
CABCOCO1	0	0	2	2
GBP6	0	0	1	0
KIAA2026	353	370	323	349
OVCH2	0	0	0	0
SYNDIG1L	0	0	1	0
TTTY8	0	0	0	0
FHL3	12	10	14	24
OR56A4	0	0	0	0
